City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Kondinskoye,RU,59.65,67.41,36.75,97,100,10,overcast clouds
85,Hermanus,ZA,-34.42,19.23,55.99,89,89,8.01,overcast clouds
86,Puerto Ayora,EC,-0.74,-90.35,68,78,0,5.99,clear sky
87,Rio Grande,BR,-32.03,-52.1,66,85,9,5.01,clear sky
88,Hilo,US,19.73,-155.09,82.4,69,75,10.29,broken clouds
89,Wells,GB,51.21,-2.65,44.01,93,90,5.82,overcast clouds
90,Talnakh,RU,69.49,88.4,10.4,66,40,13.42,scattered clouds
91,Nedjo,ET,9.5,35.5,56.68,83,100,1.95,overcast clouds
92,Katherine,AU,-14.47,132.27,89.6,46,40,12.75,scattered clouds
93,Akhisar,TR,38.92,27.84,51.15,81,1,8.68,clear sky
94,Labuan,MY,5.28,115.24,84.2,74,20,2.24,few clouds
95,Kaseda,JP,31.42,130.32,66.2,100,75,3.36,fog
96,Huarmey,PE,-10.07,-78.15,61.92,85,0,5.46,clear sky
97,Itarema,BR,-2.92,-39.92,80.2,78,100,14.79,overcast clouds
98,Honiara,SB,-9.43,159.95,87.8,70,20,5.82,few clouds
99,Necochea,AR,-38.55,-58.74,64,69,99,8.99,overcast clouds
100,Nago,JP,26.59,127.98,80.6,88,1,4.7,clear sky
101,Otane,NZ,-39.88,176.63,75.87,50,83,3.44,broken clouds
102,Barrow,US,71.29,-156.79,10.4,85,75,9.17,broken clouds
103,Ostrovnoy,RU,68.05,39.51,35.78,92,100,11.12,overcast clouds
104,Ambon,ID,-3.7,128.18,82.85,70,100,9.17,overcast clouds
105,Beringovskiy,RU,63.05,179.32,29.16,88,18,21.72,few clouds
106,Payson,US,40.04,-111.73,68,22,75,19.46,broken clouds
107,Roma,US,43.21,-75.46,57.99,66,1,3.91,clear sky
108,Egvekinot,RU,66.32,-179.17,28.49,100,100,2.28,overcast clouds
109,La Palma,US,33.85,-118.05,66.99,72,90,8.05,overcast clouds
110,Fairbanks,US,64.84,-147.72,28,92,90,10.49,snow
111,Irbeyskoye,RU,55.64,95.45,24.44,95,100,3.91,overcast clouds
112,Montague,US,42.54,-72.54,53.01,73,75,4.21,broken clouds
113,Yellowknife,CA,62.46,-114.35,9,84,75,2.24,light snow
114,Georgetown,MY,5.41,100.34,78.8,88,20,4.85,few clouds
115,Saskylakh,RU,71.92,114.08,-2.49,92,83,1.59,broken clouds
116,Banjar,ID,-8.19,114.97,86.85,51,0,3.74,clear sky
117,Ocampo,MX,21.65,-101.5,53.15,45,0,9.44,clear sky
118,Kenai,US,60.55,-151.26,25,85,90,10.29,mist
119,Rongcheng,CN,30.63,117.85,64.99,82,0,3.22,clear sky
120,Oksfjord,NO,70.24,22.35,41,86,75,5.82,moderate rain
121,Hobart,AU,-42.88,147.33,55,53,75,14.99,broken clouds
122,Yaan,NG,7.38,8.57,73.74,60,11,1.36,few clouds
123,Isangel,VU,-19.55,169.27,86,74,75,5.82,broken clouds
124,Broome,US,42.25,-75.83,60.8,44,1,6.93,clear sky
125,Ponta Do Sol,PT,32.67,-17.1,62.01,67,0,2.24,clear sky
126,Bagdarin,RU,54.43,113.6,14.5,81,34,10.49,scattered clouds
127,Qaanaaq,GL,77.48,-69.36,-6.27,78,95,8.23,overcast clouds
128,Pevek,RU,69.7,170.31,20.37,95,100,14.23,overcast clouds
129,Atuona,PF,-9.8,-139.03,78.39,75,90,14.99,overcast clouds
130,Geraldton,AU,-28.77,114.6,73.4,53,0,4.7,clear sky
131,Roald,NO,62.58,6.13,51.8,81,100,21.92,overcast clouds
132,Praia Da Vitoria,PT,38.73,-27.07,57.2,100,75,25.59,light rain
133,Bonavista,CA,48.65,-53.11,52,100,100,8.05,overcast clouds
134,Tuatapere,NZ,-46.13,167.68,45.12,90,100,7.67,overcast clouds
135,Evensk,RU,61.95,159.23,14.41,90,89,5.7,overcast clouds
136,Narsaq,GL,60.92,-46.05,32,98,75,5.82,light snow
137,Ribeira Grande,PT,38.52,-28.7,59.45,67,98,28.39,overcast clouds
138,Nikolskoye,RU,59.7,30.79,50,76,0,24.61,clear sky
139,Angoche,MZ,-16.23,39.91,75.49,77,100,9.8,overcast clouds
140,Mar Del Plata,AR,-38,-57.56,63,88,20,6.93,few clouds
141,Guanare,VE,9.04,-69.74,74.46,93,7,1.7,clear sky
142,Vila Franca Do Campo,PT,37.72,-25.43,62.6,67,75,16.11,broken clouds
143,Killybegs,IE,54.63,-8.45,44.01,90,75,1.99,broken clouds
144,Bredasdorp,ZA,-34.53,20.04,51.8,87,79,5.82,broken clouds
145,Kuching,MY,1.55,110.33,77,100,40,2.24,heavy intensity rain
146,Kodiak,US,57.79,-152.41,44.6,65,20,1.07,few clouds
147,Olafsvik,IS,64.89,-23.71,37.49,77,75,21.81,broken clouds
148,Deputatskiy,RU,69.3,139.9,-9.18,93,30,1.68,scattered clouds
