City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Bonfim,BR,3.08,-59.95,76.95,87,100,10.11,moderate rain
84,San Juan,AR,-31.54,-68.54,85.93,26,41,12.62,scattered clouds
85,Sao Joao Da Barra,BR,-21.64,-41.05,84.2,66,75,7.29,broken clouds
86,Ekibastuz,KZ,51.67,75.37,43.79,61,100,15.64,overcast clouds
87,Georgetown,MY,5.41,100.34,82.4,83,20,4.7,few clouds
88,Loei,TH,17.42,101.5,61.2,100,0,1.25,clear sky
89,Tasiilaq,GL,65.61,-37.64,30.2,92,100,35.57,snow
90,Ponta Delgada,PT,37.73,-25.67,62.6,72,20,11.41,few clouds
91,Taltal,CL,-25.4,-70.48,64.49,62,27,5.68,scattered clouds
92,Nalut,LY,30.33,10.85,73.44,24,0,8.08,clear sky
93,Jalu,LY,29.03,21.55,74.62,44,91,9.98,overcast clouds
94,Kodiak,US,57.79,-152.41,46.4,87,1,10.29,clear sky
95,Hobart,AU,-42.88,147.33,48.0,87,8,4.25,clear sky
96,Nikolskoye,RU,59.7,30.79,37.99,74,0,8.95,clear sky
97,Cortez,US,37.35,-108.59,35.6,64,40,9.17,scattered clouds
98,Plouzane,FR,48.38,-4.62,62.6,72,0,14.99,clear sky
99,Mar Del Plata,AR,-38.0,-57.56,68.0,77,40,3.36,scattered clouds
100,Burnie,AU,-41.07,145.92,46.99,82,1,3.0,clear sky
101,Qaanaaq,GL,77.48,-69.36,-6.2,73,93,11.5,overcast clouds
102,Hermanus,ZA,-34.42,19.23,57.99,85,20,4.0,light rain
103,Amarillo,US,35.22,-101.83,59.0,81,1,20.8,clear sky
104,Agirish,RU,61.92,63.02,27.59,96,100,1.95,overcast clouds
105,Srivardhan,IN,18.03,73.02,80.04,71,0,4.54,clear sky
106,Westport,US,41.14,-73.36,66.99,71,1,3.91,clear sky
107,Saldanha,ZA,-33.01,17.94,64.4,59,38,8.05,scattered clouds
108,Samarai,PG,-10.62,150.67,80.83,83,47,15.66,moderate rain
109,Azare,NG,11.68,10.19,89.56,18,95,8.79,overcast clouds
110,Santarem,BR,-2.44,-54.71,86.0,74,75,13.87,broken clouds
